rowid,uni_name,major,degree,season,decision,decision_method,decision_date,decision_timestamp,ugrad_gpa,gre_verbal,gre_quant,gre_writing,is_new_gre,gre_subject,status,post_data,post_timestamp,comments
0,Tufts University,CS,PhD,S16,Accepted,E-mail,16-11-2015,1447650000,3.6,166,163,4.5,TRUE,,American,16-11-2015,1447650000,"Met with professor beforehand. 1 year academic research experience, 1+ year of defense R&D project management"
1,SUNY Stony Brook,CS,MS,S16,Rejected,E-mail,14-11-2015,1447477200,3.5,144,167,3,TRUE,,International,14-11-2015,1447477200,non CS background
10,Purdue University,CS,MS,S16,Rejected,E-mail,11-Feb-15,1446440400,3.5,156,169,3.5,TRUE,,International,12/11/15,1447304400,Sorry..the purdue admit below is a reject
12,Purdue University,CS,MS,S16,Accepted,E-mail,31-10-2015,1446264000,3.5,156,169,3.5,TRUE,,International,12/11/15,1447304400,
13,"University Of Florida, Gainesville (UFL)",CS,MS,S16,Accepted,E-mail,31-10-2015,1446264000,3.5,156,169,3.5,TRUE,,International,12/11/15,1447304400,
14,Rutgers University,CS,MS,S16,Accepted,E-mail,30-10-2015,1446177600,3.5,156,169,3.5,TRUE,,International,12/11/15,1447304400,
17,Iowa State University (ISU),CS,MS,S16,Rejected,E-mail,10-Nov-15,1444536000,3.5,144,167,3,TRUE,,International,11/11/15,1447218000,Non cs background..expected
19,Duke University,ECE,PhD,S16,Rejected,E-mail,11-Sep-15,1447045200,3.2,156,147,3.5,TRUE,,International,9/11/15,1447045200,3 conference papers!
20,University Of Southern California (USC),ECE,MS,S16,Accepted,Website,7-Aug-15,1436328000,3.3,147,161,3.5,TRUE,,International,8/11/15,1446958800,I got pretty awesome internships and lor.But i m scared coz the fees are way too high and its spring :) any words??
23,"University Of Texas, Dallas (UT Dallas)",CS,MS,F16,Accepted,E-mail,11-Apr-15,1446613200,3.91,157,169,5.5,TRUE,,International with US Degree,6/11/15,1446786000,No news on financial aid
30,Carleton University,CS,MS,F16,Rejected,E-mail,11-Mar-15,1446526800,2.8,145,156,3,TRUE,,International,3/11/15,1446526800,"Applied on 3rd Nov for pre-screen application. Recieved a reject within 24 hours even though I demonstrated 2 years work experience. Was thinking of applying to Univ. of Ottawa, but no longer. I am from India."
47,"University Of Florida, Gainesville (UFL)",CS,MS,S16,Rejected,E-mail,27-10-2015,1445918400,3.5,144,167,3,TRUE,,International,28-10-2015,1446004800,expected..non CS background :/
48,Rutgers University,CS,MS,S16,Accepted,E-mail,28-10-2015,1446004800,3.7,155,165,4.5,TRUE,,International,28-10-2015,1446004800,"Without funding! 

2 years R&D Lab Job, 3 R&D Papers, 2 White Papers, Open Source Contribution, Ongoing Independent Research"
49,Iowa State University (ISU),CS,MS,S16,Accepted,E-mail,27-10-2015,1445918400,3.5,144,167,3,TRUE,,International,27-10-2015,1445918400,
50,National University Of Singapore (NUS),CS,MS,S16,Rejected,Website,27-10-2015,1445918400,3.5,155,160,3.5,TRUE,,International,27-10-2015,1445918400,Area of interest: Crypto. Two years in computer security industry. Generic reject email.
54,University Of Southern California (USC),CS,MS,S16,Accepted,E-mail,22-10-2015,1445486400,3.5,144,167,3,TRUE,,International,23-10-2015,1445572800,Non cs back ground..2.5+ yrs work ex from IBM..but too costly :/
57,Johns Hopkins University (JHU),CS,MS,S16,Accepted,E-mail,20-10-2015,1445313600,3.5,166,163,4,TRUE,,International,21-10-2015,1445400000,"Well, This was unexpected to be honest :)"
58,"University Of Illinois, Chicago (UIC)",CS,MS,F15,Accepted,E-mail,4-Oct-15,1428638400,3.7,152,162,4.5,TRUE,,International,21-10-2015,1445400000,"From NED University, Pakistan. 3 years of industry experience and two research projects on GPU computing."
60,"University Of Illinois, Chicago (UIC)",CS,MS,S16,Rejected,Website,10-Oct-15,1444449600,3.46,149,165,3.5,TRUE,,International,20-10-2015,1445313600,Unexpected result. Not sure if anyone got admits for MS CS from UIC.
61,"University Of Texas, Dallas (UT Dallas)",CS,MS,S16,Accepted,E-mail,17-09-2015,1442462400,3.46,149,165,3.5,TRUE,,International,20-10-2015,1445313600,NO funding
64,University Of Southern California (USC),CS,MS,S16,Accepted,Website,10-Oct-15,1444449600,3.6,149,159,3,TRUE,,International,18-10-2015,1445140800,"2 Publications, 2 International Internships

2 years of Entrepreneurial background + Work experience"
66,University Of Southern California (USC),ECE,MS,S16,Accepted,E-mail,16-10-2015,1444968000,3.9,156,167,3.5,TRUE,,International,16-10-2015,1444968000,Dream Admit. So excited!!
67,Indiana University - Purdue University Indianapolis (IUPUI),HCI,MS,S16,Accepted,E-mail,16-10-2015,1444968000,3.1,155,164,3.5,TRUE,,International with US Degree,16-10-2015,1444968000,
70,University Of Southern California (USC),CS,MS,S16,Accepted,E-mail,10-Oct-15,1444449600,4,142,158,3,TRUE,,International,11/10/15,1444536000,The Most awaited result finally...!!! I am so happy for USC admit !!! MS in Computer Science ....USC here I come
71,University Of North Texas,CS,MS,S16,Rejected,Website,30-09-2015,1443585600,3,151,157,2.5,TRUE,,International,11/10/15,1444536000,
78,"University Of Texas, Arlington",CS,MS,F16,Accepted,Website,10-May-15,1444017600,4,157,169,4.5,TRUE,,International,5/10/15,1444017600,Expected this! No news on financial aid though
79,Arizona State University (ASU),CS,MS,S16,Accepted,E-mail,10-Mar-15,1443844800,3.5,163,150,3.5,TRUE,,Other,4/10/15,1443931200,Have been accepted for MCS
84,"University Of Illinois, Urbana-Champaign (UIUC)",ECE,MS,S16,Accepted,E-mail,28-09-2015,1443412800,3.68,165,170,4.5,TRUE,,International with US Degree,30-09-2015,1443585600,Undergrad at UIUC . No offers of aid yet.
89,Arizona State University (ASU),Other,MS,S16,Accepted,E-mail,18-09-2015,1442548800,3.2,146,161,3,TRUE,,International,28-09-2015,1443412800,
98,"University Of Illinois, Urbana-Champaign (UIUC)",CS,MS,F15,Rejected,Website,27-01-2015,1422334800,3.2,152,155,2.5,TRUE,,International,27-08-2015,1440648000,
104,Michigan State University (MSU),CS,PhD,F15,Accepted,E-mail,3-Mar-15,1425358800,3.71,143,160,3.5,TRUE,,International with US Degree,10/8/15,1439179200,I had a paper on IEEE Transactions on Cybernetics during my MS in Mississippi State University. My MS cgpa was 3.72
110,Rajshahi University Of Engineering & Technology (RUET),ECE,MS,F16,Accepted,E-mail,8-May-15,1438747200,3.15,136,164,,TRUE,,Other,5/8/15,1438747200,
111,Harvard University,CS,PhD,F16,Accepted,E-mail,8-Apr-15,1438660800,3.6,160,170,4,TRUE,,International,4/8/15,1438660800,
114,"University Of California, Los Angeles (UCLA)",CS,MS,F15,Accepted,Phone,29-06-2015,1435550400,3.1,153,156,3.5,TRUE,,International,29-07-2015,1438142400,Yay!!
115,University Of Waterloo,ECE,MS,F15,Rejected,E-mail,15-07-2015,1436932800,3.52,159,165,4.5,TRUE,,Other,27-07-2015,1437969600,Canadian applicant with non-Canadian degree. Got generic rejection email.
116,"University Of Illinois, Urbana-Champaign (UIUC)",CS,MS,F15,Rejected,Website,24-05-2015,1432440000,3.96,155,163,5,TRUE,,International,24-07-2015,1437710400,"5 international papers, 6 months research internship!!

I dont know what went wrong"
117,Yale University,CS,MS,F16,Accepted,E-mail,21-07-2015,1437451200,3.6,155,165,3.5,TRUE,,International,21-07-2015,1437451200,
120,King Abdullah University Of Science And Technology (KAUST),CS,MS,F15,Accepted,E-mail,16-07-2015,1437019200,4,162,165,4.5,TRUE,,International,16-07-2015,1437019200,FINALLY!!! THANK YOU KAUST!!
123,"University Of Texas, San Antonio (UTSA)",CS,PhD,F15,Rejected,E-mail,30-05-2015,1432958400,3.58,143,164,3,TRUE,,International,1/7/15,1435723200,
125,"Texas A&M University, College Station (TAMU)",CS,PhD,F15,Rejected,Website,24-06-2015,1435118400,3.68,153,162,4,TRUE,,International,28-06-2015,1435464000,Took them a long time to post the status online. Got accepted elsewhere anyway.
130,Georgia Institute Of Technology (GTech),CS,MS,F15,Accepted,E-mail,13-06-2015,1434168000,3.3,160,170,3,TRUE,,International,23-06-2015,1435032000,Canadian Master/Bachelor degree from McGill.
142,Carnegie Mellon University (CMU),ECE,MS,F15,Accepted,E-mail,6-Feb-15,1433217600,3.3,152,162,4,TRUE,,International,5/6/15,1433476800,I am the poster below. I didnt ask them to consider for Spring 2016.  I had applied for M.S. in ECE at PA campus and M.S. at SV campus were my other 2 options. I got admit for M.S. in ECE at SV campus. I was not in touch with the department all this while.
148,"University Of California, Davis (UCD)",CS,PhD,F15,Rejected,Website,13-05-2015,1431489600,3.85,156,168,4,TRUE,,American,2/6/15,1433217600,"""No additional space in the graduate program for this admissions cycle."""
154,"Texas A&M University, College Station (TAMU)",CS,MS,F15,Rejected,Postal Service,30-05-2015,1432958400,3.15,157,165,4.5,TRUE,,International,1/6/15,1433131200,
163,University Of Toronto (UofT),ECE,MS,F15,Accepted,E-mail,21-05-2015,1432180800,3.52,159,165,,TRUE,,Other,27-05-2015,1432699200,My dream school. Couldn't be happier! Canadian applicant with non-Canadian degree.
164,University Of Ontario Institute Of Technology (UOIT),ECE,MS,F15,Accepted,Website,4-Oct-15,1428638400,3.5,159,165,,TRUE,,Other,27-05-2015,1432699200,Canadian with a non-Canadian degree.
165,University Of British Columbia (UBC),ECE,MS,F15,Rejected,E-mail,21-04-2015,1429588800,3.5,159,165,,TRUE,,Other,27-05-2015,1432699200,Canadian with a non-Canadian degree. Too bad.
181,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,21-05-2015,1432180800,3.1,166,161,,TRUE,,International,22-05-2015,1432267200,Admitted to MS for Scientists & Engineers program and rejected to the regular MS program; non-CS b/g; Bachelors & Masters in Aerospace Engg.; 5+ yrs work ex. in Aerospace Industry
183,Georgia Institute Of Technology (GTech),ECE,MS,F15,Accepted,E-mail,21-05-2015,1432180800,3.4,157,161,4.5,TRUE,,American,21-05-2015,1432180800,Have been in the ELDP program of a major defense contractor for a year now. Accepted into the distance learning program.
186,Boston University (BU),CS,MS,F15,Accepted,E-mail,14-05-2015,1431576000,3.3,161,166,4,TRUE,,International,20-05-2015,1432094400,"From founding batch of a university in India, which is probably why the likes of CMU, GeorgiaTech, Cornell, Columbia, and UPenn rejected me.

Only admit, applied late so no scholarship. Will most probably be attending.



Anyone else joining or has information about student groups on FB, please message me : gautambhat1993@gmail.com"
188,New Jersey Institute Of Technology (NJIT),CS,MS,F15,Rejected,E-mail,17-05-2015,1431835200,3,140,161,2,TRUE,,International,20-05-2015,1432094400,They did not review my documents. Just looked at my GRE score and said verbal is low. On the website limit is 143.
189,"University Of California, Riverside (UCR)",CS,MS,F15,Rejected,E-mail,18-05-2015,1431921600,3,140,161,2,TRUE,,International,20-05-2015,1432094400,
191,Nanyang Technological University (NTU),CS,MS,F15,Rejected,E-mail,20-05-2015,1432094400,3.3,152,162,4,TRUE,,International,20-05-2015,1432094400,Toefl 104
193,University Of Southern California (USC),CS,PhD,F15,Rejected,E-mail,19-05-2015,1432008000,3.44,159,156,3,TRUE,,American,19-05-2015,1432008000,Had good recs
196,University Of Southern California (USC),ECE,MS,F15,Rejected,Website,16-05-2015,1431748800,3.5,157,168,4.5,TRUE,,International,18-05-2015,1431921600,"Oh well...Thanks for the wait, NOT!!"
198,"University Of California, Davis (UCD)",CS,MS,F15,Rejected,E-mail,17-05-2015,1431835200,3.94,144,168,3,TRUE,,International with US Degree,18-05-2015,1431921600,No additional space available in the graduate program for this admissions cycle.
199,Georgia Institute Of Technology (GTech),CS,PhD,F15,Rejected,Website,15-05-2015,1431662400,3.97,162,165,4,TRUE,,American,15-05-2015,1431662400,"I didn't think I was going to hear back from GT. Oh well, I accepted an offer from another school a month ago anyway."
212,New York University (NYU),CS,PhD,F15,Rejected,E-mail,13-05-2015,1431489600,3.8,158,162,3.5,TRUE,,International,14-05-2015,1431576000,"A decision, at last. GPA is for Masters."
219,"University Of California, Davis (UCD)",CS,PhD,F15,Rejected,Website,13-05-2015,1431489600,3.8,154,170,4.5,TRUE,,Other,13-05-2015,1431489600,No more vacancy.
225,New York University (NYU),CS,PhD,F15,Rejected,E-mail,13-05-2015,1431489600,3.26,157,169,3,TRUE,,International,13-05-2015,1431489600,"3 publications. 2 years of research experience. My application was a bit confusing: my experience is in one area, and my intended area is another one. However, I was expecting a different response. Anyway, I was accepted in a top 15 university. Recommendation to other PhD applicants for the next year: apply where you have connections. If there is faculty that knows you or your recommenders, is the key. At least in my experience. Hope this is useful to someone."
227,University Of Toronto (UofT),CS,MS,F15,Accepted,E-mail,28-04-2015,1430193600,3.86,162,168,3,TRUE,,International with US Degree,12/5/15,1431403200,To the poster below. I got accepted on 4/28 and my ad says I need to respond by 5/12. So hold tight and there should still be some spaces I guess.
233,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,5-Dec-15,1431403200,3.7,151,168,3.5,TRUE,,International,12/5/15,1431403200,"Applied for Fall 2015 instead they offered me Spring 2016 admit. I am going to reject it I have better admits. The decision is too late, pathetic university never apply here."
